elo1, elo2, res
1704,2233,1/2-1/2
2229,1703,0-1
1663,2208,1/2-1/2
1654,2205,1/2-1/2
2173,1595,1-0
2158,1530,1-0
2135,1475,1-0
2126,1470,1-0
2123,1450,1-0
1349,2105,0-1
1234,2104,0-1
2055,2700,1/2-1/2
2049,2681,0-1
2044,2651,0-1
2042,2646,0-1
2546,2019,1-0
2599,2026,1-0
2007,2511,0-1
1999,2496,0-1
2495,1998,1-0
1997,2493,0-1
2490,1996,1-0
2479,1993,1-0
1992,2466,0-1
2463,1985,1-0
2447,1964,1-0
2427,1953,1-0
1948,2423,0-1
2418,1940,1-0
1938,2408,0-1
2398,1933,1-0
2394,1923,1-0
1922,2389,0-1
2385,1921,0-1
1915,2385,1/2-1/2
1893,2362,0-1
2360,1890,1-0
2345,1883,1/2-1/2
1882,2341,0-1
2325,1875,1-0
1867,2323,0-1
1862,2314,0-1
2308,1845,1-0
2299,1830,0-1
2274,1810,1-0
1803,2270,0-1
1782,2257,0-1
2255,1761,1-0
1759,2254,0-1
2253,1756,1-0
1754,2251,0-1
1729,2239,0-1
2237,1705,1-0
2212,1677,1-0
1669,2209,0-1
2209,1668,1-0
2207,1662,1-0
2198,1650,1-0
1649,2196,0-1
2191,1618,1-0
1618,2187,0-1
2180,1599,1-0
1598,2176,0-1
1557,2162,0-1
1526,2155,0-1
2155,1512,1-0
1510,2143,0-1
1471,2130,0-1
1437,2117,1-0
2116,1425,1-0
1424,2115,0-1
2105,1404,1-0
2104,1309,1-0
2102,1175,1-0
2303,2706,0-1
2294,2687,0-1
2681,2308,1-0
2285,2657,0-1
2651,2274,1-0
2270,2646,0-1
2646,2255,1-0
2257,2631,1-0
2623,2253,1-0
2254,2603,0-1
2600,2249,1-0
2248,2546,1/2-1/2
2251,2599,0-1
2587,2244,1-0
2239,2528,1/2-1/2
2511,2237,1-0
2215,2506,1/2-1/2
2503,2237,1/2-1/2
2209,2501,0-1
2496,2212,1-0
2187,2495,1/2-1/2
2493,2209,1-0
2487,2207,1-0
2185,2479,1/2-1/2
2466,2198,1-0
2460,2191,1-0
2176,2456,0-1
2456,2180,1/2-1/2
2162,2447,1-0
2444,2173,1-0
2155,2441,0-1
2439,2158,1-0
2143,2435,1/2-1/2
2430,2155,1-0
2130,2427,0-1
2423,2135,1-0
2124,2418,1/2-1/2
2408,2126,1-0
2115,2398,1/2-1/2
2395,2123,1-0
2105,2394,0-1
2389,2105,1-0
2104,2382,0-1
2376,2104,1-0
2099,2362,0-1
2362,2102,1/2-1/2
2093,2360,1-0
2359,2101,1/2-1/2
2341,2097,1-0
2066,2325,0-1
2323,2080,1-0
1921,2317,0-1
2314,2066,1-0
1830,2314,1/2-1/2
2308,1437,1-0
1703,2290,0-1
2700,1710,1-0
2385,1704,1-0
2237,1663,1-0
2233,1654,1-0
2208,1636,1-0
1822,2055,0-1
1804,1915,1/2-1/2
1883,1624,1-0
1875,2385,0-1
1865,2299,1/2-1/2
1854,2229,1-0
2117,1867,1/2-1/2
2056,1862,1/2-1/2
2051,1853,1-0
1845,2049,0-1
2048,1844,0-1
2044,1829,1-0
1810,2042,1/2-1/2
2038,1812,1-0
1802,2033,0-1
2027,1803,1-0
1761,2027,1-0
2026,1782,1-0
1756,2022,1-0
2019,1759,1/2-1/2
1738,2011,1/2-1/2
2008,1754,1-0
1736,2007,1/2-1/2
2007,1729,1/2-1/2
2004,1705,1/2-1/2
1677,1999,0-1
1668,1997,0-1
1996,1662,1-0
1650,1994,0-1
1993,1649,1-0
1618,1992,0-1
1985,1618,1-0
1599,1980,0-1
1967,1598,1-0
1595,1967,0-1
1964,1557,1-0
1530,1963,0-1
1961,1512,1-0
1475,1958,0-1
1953,1510,0-1
1470,1953,0-1
1953,1471,1-0
1450,1948,0-1
1425,1938,0-1
1933,1424,1-0
1309,1927,0-1
1175,1922,0-1
1901,1234,1-0
2162,2444,0-1
2700,2093,1-0
2541,2248,1-0
2528,2237,1-0
2506,2233,1-0
2215,2503,0-1
2495,2208,1-0
2237,2490,1/2-1/2
2479,2187,1-0
2196,2463,0-1
2456,2185,1-0
2435,2124,1/2-1/2
2418,2143,1-0
2398,2116,1-0
2180,2385,0-1
2101,2362,0-1
2055,2359,0-1
2314,2115,1-0
2290,1883,1/2-1/2
2101,2269,0-1
2631,1830,1-0
2447,2038,1-0
2385,2033,1/2-1/2
2360,2027,1-0
2005,2345,1/2-1/2
2308,2026,1-0
1999,2303,0-1
1997,2294,0-1
1994,2285,1-0
2274,2008,1-0
1992,2270,0-1
2255,1998,1-0
1980,2254,0-1
2253,1996,1/2-1/2
1967,2251,0-1
2249,1993,1-0
2244,1985,1/2-1/2
2237,1967,1-0
2212,1964,1-0
1963,2209,0-1
2209,1961,0-1
2205,1953,1-0
2198,1940,0-1
2191,1938,1-0
1958,2176,1/2-1/2
2173,1933,0-1
2158,1923,1-0
1953,2155,0-1
2155,1921,1-0
2135,1901,1-0
1948,2130,0-1
2126,1895,1-0
2123,1890,1-0
2105,1854,1-0
1927,2105,1-0
2104,1804,1-0
1922,2104,0-1
1915,2099,0-1
2097,1761,0-1
2080,1756,1/2-1/2
1893,2066,0-1
2066,1703,1-0
1844,2051,1/2-1/2
1510,2044,0-1
1437,2056,1-0
2299,1737,1-0
1729,2117,0-1
1710,2044,1/2-1/2
2042,1736,1-0
1705,2019,0-1
2011,1669,1-0
2007,1526,1/2-1/2
1704,2007,0-1
1663,2004,0-1
1654,1897,1-0
1886,1349,1-0
1636,1865,1-0
1624,1822,1-0
1404,1810,0-1
2229,1649,1-0
1618,2048,0-1
2027,1618,1-0
2022,1599,1-0
1882,1595,1-0
1557,1875,1-0
1853,1530,1-0
1512,1845,0-1
1829,1475,1-0
1812,1471,1-0
1803,1470,1-0
1782,1450,1-0
1754,1309,1/2-1/2
1424,1677,1-0
1234,1650,0-1
2706,2439,0-1
2687,2430,1-0
2441,2681,0-1
2657,2423,1-0
2427,2651,1/2-1/2
2646,2408,1-0
2395,2646,0-1
2603,2389,1-0
2394,2600,0-1
2599,2376,1-0
2382,2587,0-1
2546,2239,1-0
2362,2511,1/2-1/2
2501,2341,1/2-1/2
2325,2496,1/2-1/2
2323,2493,1/2-1/2
2317,2487,0-1
2314,2466,1-0
2308,2460,0-1
2456,2257,1/2-1/2
2587,2687,1-0
2681,2599,1-0
2487,2657,1/2-1/2
2646,2460,1-0
2503,2362,1/2-1/2
2269,2501,1/2-1/2
2496,2314,1-0
2341,2495,0-1
2257,2479,0-1
2444,2603,0-1
2600,2314,1-0
2439,2623,1/2-1/2
2463,2700,0-1
2651,2456,1/2-1/2
2385,2541,1/2-1/2
2362,2528,1/2-1/2
